timestamp,open,high,low,close,volume
2021-03-04,2014.8690,2074.5900,2005.4300,2033.9300,2452327
2021-03-03,2051.9500,2075.9900,1994.0000,2011.4100,1694645
2021-03-02,2064.8400,2094.7400,2056.6700,2064.4800,1278184
2021-03-01,2048.0000,2076.2300,2034.4200,2069.6600,1303089
2021-02-26,2029.9500,2056.5200,2001.0100,2021.9100,1978740
2021-02-25,2055.9300,2083.0000,2006.4900,2015.9500,2047513
2021-02-24,2030.0400,2088.3200,2027.5300,2083.8100,1130437
2021-02-23,2013.9900,2072.5000,1990.2300,2060.1200,1732899
2021-02-22,2053.6000,2080.3300,2048.0000,2054.2600,1458920
2021-02-19,2107.7900,2118.5800,2083.4300,2088.8100,1896939
2021-02-18,2105.0000,2121.9900,2093.3300,2105.8100,1128549
2021-02-17,2093.9800,2122.4434,2088.3500,2118.6200,986524
2021-02-16,2091.7500,2145.1400,2091.7500,2110.7000,1550195
2021-02-12,2079.7700,2099.5000,2073.5700,2095.0300,949525
2021-02-11,2091.0000,2094.0000,2068.8600,2088.7500,1024029
2021-02-10,2083.1400,2098.8800,2052.2400,2086.4800,1252689
2021-02-09,2074.8000,2098.5100,2070.0000,2075.3900,1093053
2021-02-08,2100.0000,2115.0000,2063.3500,2084.5200,1441443
2021-02-05,2059.5600,2095.9400,2050.0000,2088.8300,1493256
2021-02-04,2060.6156,2069.3000,2035.1000,2053.6300,2429780
2021-02-03,2065.6100,2106.6234,2013.5500,2058.8800,4894082
2021-02-02,1913.1300,1949.3700,1906.3700,1919.1200,3108776
2021-02-01,1844.5850,1915.5400,1844.5850,1893.0700,2012603
2021-01-29,1834.0200,1847.5350,1801.5601,1827.3600,2226509
2021-01-28,1831.0000,1887.9900,1831.0000,1853.2000,2763905
2021-01-27,1874.9100,1880.4700,1797.2800,1818.9400,4125631
2021-01-26,1885.9900,1915.7500,1876.1300,1907.9500,1573078
2021-01-25,1912.7400,1921.8200,1859.1600,1894.2800,2529346
2021-01-22,1891.4600,1904.3900,1876.4950,1892.5600,1637195
2021-01-21,1893.6500,1932.0800,1879.4100,1884.1500,2932973
2021-01-20,1826.3700,1899.7234,1819.5100,1880.0700,3207570
2021-01-19,1743.0000,1803.8400,1732.8300,1784.4700,2082951
